iter	Passed	Remaining
791	14362	3771
792	14385	3755
793	14404	3737
794	14423	3719
795	14443	3701
796	14462	3683
797	14482	3665
798	14502	3648
799	14521	3630
800	14540	3612
801	14559	3594
802	14577	3576
803	14597	3558
804	14615	3540
805	14635	3522
806	14656	3505
807	14676	3487
808	14698	3470
809	14716	3452
810	14737	3434
811	14755	3416
812	14774	3398
813	14793	3380
814	14812	3362
815	14830	3344
816	14850	3326
817	14870	3308
818	14888	3290
819	14907	3272
820	14925	3254
821	14944	3236
822	14964	3218
823	14985	3200
824	15004	3182
825	15023	3164
826	15045	3147
827	15069	3130
828	15090	3112
829	15111	3095
830	15129	3076
831	15146	3058
832	15164	3040
833	15181	3021
834	15198	3003
835	15215	2984
836	15232	2966
837	15250	2948
838	15266	2929
839	15283	2911
840	15300	2892
841	15317	2874
842	15334	2855
843	15351	2837
844	15367	2818
845	15386	2800
846	15405	2782
847	15422	2764
848	15440	2746
849	15458	2727
850	15477	2709
851	15494	2691
852	15511	2673
853	15528	2654
854	15545	2636
855	15562	2618
856	15579	2599
857	15596	2581
858	15612	2562
859	15629	2544
860	15647	2526
861	15667	2508
862	15684	2489
863	15700	2471
864	15717	2452
865	15735	2434
866	15751	2416
867	15768	2397
868	15786	2379
869	15805	2361
870	15823	2343
871	15841	2325
872	15858	2306
873	15874	2288
874	15891	2270
875	15907	2251
876	15924	2233
877	15941	2215
878	15961	2197
879	15979	2179
880	15997	2160
881	16014	2142
882	16031	2124
883	16050	2106
884	16069	2088
885	16086	2069
886	16106	2051
887	16125	2033
888	16144	2015
889	16160	1997
890	16176	1978
891	16192	1960
892	16209	1942
893	16225	1923
894	16243	1905
895	16263	1887
896	16279	1869
897	16296	1851
898	16312	1832
899	16329	1814
900	16345	1796
901	16361	1777
902	16379	1759
903	16397	1741
904	16416	1723
905	16432	1704
906	16450	1686
907	16467	1668
908	16485	1650
909	16502	1632
910	16519	1613
911	16537	1595
912	16555	1577
913	16574	1559
914	16593	1541
915	16613	1523
916	16637	1505
917	16656	1487
918	16674	1469
919	16690	1451
920	16707	1433
921	16725	1414
922	16742	1396
923	16759	1378
924	16776	1360
925	16793	1342
926	16810	1323
927	16826	1305
928	16845	1287
929	16862	1269
930	16880	1251
931	16897	1232
932	16916	1214
933	16932	1196
934	16948	1178
935	16965	1160
936	16982	1141
937	16997	1123
938	17015	1105
939	17032	1087
940	17049	1068
941	17066	1050
942	17082	1032
943	17099	1014
944	17114	996
945	17131	977
946	17148	959
947	17165	941
948	17182	923
949	17202	905
950	17220	887
951	17241	869
952	17261	851
953	17280	833
954	17297	815
955	17315	796
956	17332	778
957	17351	760
958	17370	742
959	17390	724
960	17419	706
961	17442	688
962	17463	670
963	17500	653
964	17525	635
965	17544	617
966	17561	599
967	17577	581
968	17594	562
969	17609	544
970	17627	526
971	17644	508
972	17660	490
973	17677	471
974	17693	453
975	17710	435
976	17727	417
977	17743	399
978	17761	380
979	17778	362
980	17797	344
981	17814	326
982	17833	308
983	17850	290
984	17867	272
985	17883	253
986	17899	235
987	17915	217
988	17932	199
989	17948	181
990	17965	163
991	17981	145
992	17998	126
993	18014	108
994	18033	90
995	18050	72
996	18067	54
997	18085	36
998	18104	18
999	18123	0
